subject_id,n_channels,n_trials,n_samples_per_trial,n_samples_total,duration_s,sfreq,var_mo,ss_mo,pf,rhoA,rhoB,ss_error,mean_joint_gc,mean_uc_gc,mean_cond_gc,mean_redundancy,mean_vulnerability
sub-ON08710,62,180,600,108000,360.0,300,5,68,10,0.959823,0.894894,0,0.068749,0.001928,0.000619,1.696513,0.547278
sub-ON09540,62,180,600,108000,360.0,300,3,62,6,0.973579,0.671286,0,0.062790,0.001759,0.000575,1.720084,0.564961
sub-ON09766,62,142,600,85200,284.0,300,4,72,8,0.941395,0.659585,0,0.077665,0.005418,0.000498,3.755737,0.431932
sub-ON33221,62,177,600,106200,354.0,300,3,67,6,0.962414,0.778740,0,0.063047,0.001586,0.000490,1.546179,0.490021
sub-ON43210,62,178,600,106800,356.0,300,4,65,8,0.968062,0.818213,0,0.076280,0.002588,0.000732,2.045650,0.585068
sub-ON51111,62,180,600,108000,360.0,300,4,81,8,0.976231,0.862901,0,0.062764,0.002934,0.000458,2.815331,0.451759
sub-ON52220,62,180,600,108000,360.0,300,4,66,8,0.958709,0.868508,0,0.059489,0.003127,0.000507,3.105437,0.530226
sub-ON62200,62,180,600,108000,360.0,300,4,73,8,0.981176,0.863211,0,0.071711,0.003933,0.000467,3.296998,0.407707
sub-ON73200,62,178,600,106800,356.0,300,4,52,8,0.976993,0.782379,0,0.073506,0.002941,0.000502,2.441185,0.419428
sub-ON75100,62,173,600,103800,346.0,300,4,77,8,0.976446,0.768856,0,0.068646,0.002674,0.000672,2.288504,0.609073
sub-ON76144,62,180,600,108000,360.0,300,4,76,8,0.986118,0.739971,0,0.070792,0.003614,0.000520,3.097139,0.448298
sub-ON76320,62,180,600,108000,360.0,300,4,77,8,0.978990,0.790131,0,0.072822,0.005107,0.000568,3.945059,0.501891
sub-ON76525,62,70,600,42000,140.0,300,3,15,6,0.928225,0.352078,0,0.162919,0.005632,0.001372,2.142592,0.496594
sub-ON76625,62,180,600,108000,360.0,300,4,58,8,0.968249,0.750179,0,0.092984,0.004967,0.000904,3.064920,0.601839
sub-ON77753,62,159,600,95400,318.0,300,4,64,8,0.941746,0.629071,0,0.088483,0.005918,0.001011,3.889606,0.682807
sub-ON83320,62,174,600,104400,348.0,300,4,71,8,0.946946,0.669542,0,0.075260,0.005643,0.000546,4.320466,0.459544
sub-ON84201,62,177,600,106200,354.0,300,5,64,10,0.951454,0.686315,0,0.072450,0.003231,0.000808,2.590723,0.692905
sub-ON85010,62,178,600,106800,356.0,300,4,66,8,0.964841,0.778546,0,0.099186,0.004740,0.000814,2.828293,0.505857
sub-ON85301,62,164,600,98400,328.0,300,3,63,6,0.948337,0.641020,0,0.086835,0.004517,0.000751,3.053888,0.539667
sub-ON85400,62,179,600,107400,358.0,300,3,63,6,0.967196,0.746267,0,0.058870,0.004375,0.000424,4.467865,0.444920
sub-ON85514,62,180,600,108000,360.0,300,5,63,10,0.980763,0.737625,0,0.108051,0.005319,0.001056,2.878195,0.589320
sub-ON87304,62,180,600,108000,360.0,300,5,68,10,0.993282,0.894972,0,0.077245,0.003342,0.000599,2.501314,0.496465
sub-ON87550,62,171,600,102600,342.0,300,4,71,8,0.948924,0.676573,0,0.059244,0.001868,0.000483,1.865264,0.512192
sub-ON87616,62,179,600,107400,358.0,300,3,65,6,0.966380,0.763441,0,0.073586,0.002811,0.000374,2.396773,0.323137
sub-ON87631,62,179,600,107400,358.0,300,3,68,6,0.970767,0.822748,0,0.059697,0.001626,0.000586,1.682024,0.597649
sub-ON87642,62,179,600,107400,358.0,300,5,64,10,0.948934,0.779453,0,0.106193,0.003411,0.000877,1.934398,0.517230
sub-ON87655,62,170,600,102000,340.0,300,5,76,10,0.965472,0.798548,0,0.097653,0.004153,0.000903,2.729535,0.591125
sub-ON87743,62,160,600,96000,320.0,300,5,75,10,0.971571,0.832768,0,0.084382,0.007717,0.000686,4.923483,0.517453
sub-ON87777,62,178,600,106800,356.0,300,4,71,8,0.977192,0.808000,0,0.046716,0.003457,0.000373,3.825729,0.533355
sub-ON88700,62,175,600,105000,350.0,300,4,75,8,0.977273,0.724992,0,0.064063,0.003571,0.000524,3.105726,0.530906
sub-ON88753,62,175,600,105000,350.0,300,5,82,10,0.968427,0.824852,0,0.082059,0.006832,0.000591,4.503447,0.470697
sub-ON88762,62,180,600,108000,360.0,300,5,73,10,0.972932,0.896052,0,0.061900,0.002354,0.000544,2.279765,0.544933
sub-ON92220,62,176,600,105600,352.0,300,4,74,8,0.982541,0.857006,0,0.100003,0.004959,0.000898,2.762374,0.610036
sub-ON93222,62,180,600,108000,360.0,300,4,66,8,0.965238,0.772273,0,0.083920,0.002954,0.000700,2.163688,0.516048
sub-ON94110,62,180,600,108000,360.0,300,3,62,6,0.945836,0.803710,0,0.060211,0.002318,0.000680,2.294758,0.709902
sub-ON94131,62,180,600,108000,360.0,300,5,65,10,0.975838,0.786736,0,0.083998,0.003272,0.000871,2.312797,0.632532
sub-ON95520,62,150,600,90000,300.0,300,5,74,10,0.991918,0.793658,0,0.060119,0.004838,0.000428,4.359820,0.463392
sub-ON96252,62,180,600,108000,360.0,300,4,67,8,0.985834,0.864938,0,0.062486,0.004532,0.000498,4.226510,0.488432
sub-ON96353,62,179,600,107400,358.0,300,5,61,10,0.970989,0.892099,0,0.087554,0.002874,0.000829,1.936568,0.598860
sub-ON96510,62,120,600,72000,240.0,300,5,52,10,0.987350,0.892843,0,0.115184,0.006817,0.001030,3.432919,0.550353
sub-ON96555,62,180,600,108000,360.0,300,4,59,8,0.960657,0.863964,0,0.075376,0.003028,0.000924,2.443188,0.766475
sub-ON97503,62,166,600,99600,332.0,300,5,65,10,0.957987,0.675814,0,0.102646,0.006765,0.001208,3.804978,0.732212
sub-ON97654,62,168,600,100800,336.0,300,5,69,10,0.983118,0.901635,0,0.082026,0.004268,0.000679,3.046286,0.524521
sub-ON97765,62,180,600,108000,360.0,300,4,62,8,0.958725,0.756888,0,0.087332,0.007004,0.000693,4.589244,0.533623
sub-ON98130,62,180,600,108000,360.0,300,3,60,6,0.975293,0.702208,0,0.077133,0.002067,0.000505,1.657956,0.409096
sub-ON98362,62,180,600,108000,360.0,300,3,44,6,0.946480,0.753700,0,0.073105,0.004041,0.000760,3.063762,0.665140
sub-ON98502,62,163,600,97800,326.0,300,3,74,6,0.974892,0.731275,0,0.068289,0.002563,0.000539,2.271939,0.492012
sub-ON98602,62,179,600,107400,358.0,300,4,54,8,0.952086,0.865417,0,0.073236,0.002104,0.000629,1.714897,0.555545
sub-ON98664,62,179,600,107400,358.0,300,3,73,6,0.974027,0.786454,0,0.054906,0.001859,0.000451,1.999259,0.545330
sub-ON98745,62,170,600,102000,340.0,300,4,64,8,0.986303,0.828120,0,0.063005,0.002585,0.000789,2.375353,0.814832
sub-ON99547,62,175,600,105000,350.0,300,3,66,6,0.980393,0.728012,0,0.043381,0.002121,0.000418,2.854707,0.615353
sub-ON99633,62,180,600,108000,360.0,300,5,67,10,0.997016,0.891393,0,0.066707,0.003597,0.000494,3.159055,0.462835
sub-ON99881,62,180,600,108000,360.0,300,3,69,6,0.956805,0.741652,0,0.060115,0.002666,0.000562,2.565091,0.581634
sub-ON99943,62,180,600,108000,360.0,300,4,70,8,0.954900,0.853229,0,0.094817,0.006529,0.001006,3.796646,0.636389
